4,6829,onwatch,1471888233
4,6829,endat0,1471888241
4,6829,onwatch,1471888279
4,6829,endat0,1471888303
4,6829,onwatch,1471888303
4,6829,start,1471888314
4,6829,endat1,1471888368
11046,6829,onwatch,1471898047
11046,6829,start,1471898053
11046,6829,endat32,1471899529
7407,6829,onwatch,1471912271
7407,6829,start,1471912279
7407,6829,half,1471914276
7407,6829,onwatch,1471917811
7407,6829,start,1471917824
7407,6829,half,1471917824
16611,6829,onwatch,1471931041
16611,6829,start,1471931051
16611,6829,half,1471932557
16607,6829,onwatch,1471933600
16607,6829,start,1471933621
15009,6829,onwatch,1471934517
15009,6829,start,1471934524
16611,6829,endat13,1471940902
16611,6829,onwatch,1471942700
14625,6829,onwatch,1471962158
14625,6829,start,1471962163
14625,6829,endat23,1471963997
16650,6829,start,1471970193
16650,6829,half,1471970202
16650,6829,endat95,1471970244
16650,6829,start,1471970252
16650,6829,half,1471971160
16650,6829,endat120,1471973259
16028,6829,onwatch,1471977615
11197,6829,onwatch,1471979932
11197,6829,start,1471979941
16652,6829,endat0,1471984309
16654,6829,onwatch,1471994723
16654,6829,start,1471994729
16611,6829,onwatch,1472001476
16376,6829,onwatch,1472004816
16376,6829,start,1472004828
16376,6829,endat19,1472011130
16611,6829,onwatch,1472033760
16611,6829,onwatch,1472037395
16611,6829,start,1472037401
16611,6829,endat22,1472042879
16654,6829,endat2,1472061788
9552,6829,onwatch,1472061902
11197,6829,endat39,1472061922
9552,6829,onwatch,1472062026
15453,6829,onwatch,1472062290
15453,6829,start,1472062298
9552,6829,endat0,1472062414
15453,6829,half,1472063406
15453,6829,endat126,1472066409
9552,6829,endat0,1472128949
14445,6829,onwatch,1472131659
14445,6829,start,1472131674
14445,6829,half,1472133671
14445,6829,endat63,1472134371
14445,6829,onwatch,1472134372
14445,6829,start,1472134378
14445,6829,half,1472134378
14445,6829,endat65,1472134473
14445,6829,onwatch,1472134473
14445,6829,half,1472134478
14445,6829,start,1472134478
14445,6829,endat65,1472134498
14445,6829,onwatch,1472134499
14445,6829,start,1472134503
14445,6829,half,1472134503
14445,6829,endat65,1472134514
5746,6829,onwatch,1472140152
5746,6829,start,1472140248
5746,6829,endat13,1472143198
14984,6829,onwatch,1472151089
16548,6829,onwatch,1472151172
14984,6829,start,1472151473
16548,6829,endat0,1472151788
14984,6829,onwatch,1472152029
14984,6829,start,1472152041
14984,6829,onwatch,1472152147
14984,6829,start,1472152232
14984,6829,half,1472153790
8295,6829,onwatch,1472168737
12962,6829,onwatch,1472171069
12962,6829,start,1472171082
14984,6829,onwatch,1472180025
12962,6829,start,1472188572
16607,6829,onwatch,1472193488
16607,6829,start,1472193490
16607,6829,endat24,1472194030
16607,6829,onwatch,1472194031
16607,6829,onwatch,1472194033
16607,6829,start,1472194037
16607,6829,half,1472195288
16611,6829,onwatch,1472198783
16611,6829,start,1472198791
16611,6829,endat21,1472199033
16611,6829,onwatch,1472199033
16611,6829,start,1472199045
16611,6829,endat45,1472205375
12962,6829,endat23,1472214783
11046,6829,onwatch,1472218744
11046,6829,start,1472218745
11046,6829,half,1472219540
15582,6829,onwatch,1472224473
15582,6829,endat0,1472224485
11046,6829,endat77,1472225064
8295,6829,endat0,1472226624
16607,6829,endat84,1472231295
16607,6829,start,1472231300
15420,6829,onwatch,1472233271
15420,6829,start,1472233322
14060,6829,onwatch,1472234795
14060,6829,start,1472234798
14060,6829,half,1472238968
16631,6829,onwatch,1472239123
16631,6829,start,1472239903
16672,6829,onwatch,1472240172
16631,6829,endat0,1472240193
16672,6829,endat0,1472240697
15420,6829,endat4,1472243810
15420,6829,onwatch,1472243811
15420,6829,start,1472243814
15420,6829,start,1472243900
